sample_id,sample_group
40,grp_1
41,grp_1
42,grp_1
43,grp_1
44,grp_1
45,grp_1
46,grp_1
47,grp_2
48,grp_2
49,grp_2
50,grp_2
51,grp_2
52,grp_2
53,grp_2
54,grp_3
55,grp_3
56,grp_3
57,grp_3
58,grp_3
59,grp_4
60,grp_4
61,grp_4
62,grp_4
63,grp_4
64,grp_4
65,grp_5
66,grp_5
67,grp_5
68,grp_6
69,grp_6
70,grp_6
71,grp_6
72,grp_6
73,grp_6
74,grp_7
75,grp_7
76,grp_7
77,grp_7
78,grp_8
79,grp_9
80,grp_9
81,grp_9
82,grp_10
83,grp_10
84,grp_10
85,grp_10
86,grp_10
87,grp_11
88,grp_11
89,grp_11
90,grp_12
91,grp_12
92,grp_12
93,grp_12
